algorithm,iterations,keygen_seconds,message_bytes,peak_rss_bytes,reason,repetition,sign_seconds,signature_bytes,status,verify_seconds
ML-DSA-65,1000,0.000103000,2048,5668864,,5,0.407397000,3309,confirmed,0.077413000
ML-DSA-87,1000,0.000128000,2048,5783552,,5,0.489256000,4627,confirmed,0.118573000
RSA-2048/SHA-256,1000,0.030208000,2048,4915200,,6,0.339327000,256,confirmed,0.010475000
P-256/SHA-256,1000,0.000054000,2048,5259264,,6,0.013291000,70,confirmed,0.035009000
Ed25519,1000,0.000034000,2048,5357568,,6,0.019004000,64,confirmed,0.042029000
ML-DSA-44,1000,0.000070000,2048,5537792,,6,0.245648000,2420,confirmed,0.049873000
ML-DSA-65,1000,0.000094000,2048,5586944,,6,0.397263000,3309,confirmed,0.075266000
ML-DSA-87,1000,0.000126000,2048,5652480,,6,0.472836000,4627,confirmed,0.118077000
RSA-2048/SHA-256,1000,0.019082000,2048,4931584,,7,0.340150000,256,confirmed,0.010425000
P-256/SHA-256,1000,0.000053000,2048,5275648,,7,0.013542000,71,confirmed,0.036439000
Ed25519,1000,0.000041000,2048,5373952,,7,0.020517000,64,confirmed,0.042326000
ML-DSA-44,1000,0.000075000,2048,5619712,,7,0.259434000,2420,confirmed,0.050259000
ML-DSA-65,1000,0.000099000,2048,5718016,,7,0.394774000,3309,confirmed,0.075307000
ML-DSA-87,1000,0.000135000,2048,5783552,,7,0.478837000,4627,confirmed,0.117591000
RSA-2048/SHA-256,1000,0.030022000,2048,4866048,,8,0.341653000,256,confirmed,0.010585000
P-256/SHA-256,1000,0.000055000,2048,5210112,,8,0.013386000,71,confirmed,0.034922000
Ed25519,1000,0.000030000,2048,5324800,,8,0.019001000,64,confirmed,0.041594000
ML-DSA-44,1000,0.000075000,2048,5586944,,8,0.236136000,2420,confirmed,0.049595000
ML-DSA-65,1000,0.000102000,2048,5668864,,8,0.413734000,3309,confirmed,0.075048000
ML-DSA-87,1000,0.000129000,2048,5767168,,8,0.485719000,4627,confirmed,0.117484000
